Feature,Importance
qty_slash_url,0.34432575
directory_length,0.312951
qty_dot_domain,0.034649134
qty_hyphen_directory,0.021985546
qty_dot_file,0.016567444
domain_length,0.0143740075
url_shortened,0.014313301
qty_dot_params,0.014065503
length_url,0.013825269
qty_percent_url,0.012465542
qty_tld_url,0.012246942
qty_at_url,0.01165134
qty_params,0.011393016
qty_underline_file,0.009897126
qty_dot_directory,0.009440474
qty_plus_url,0.008851422
qty_slash_directory,0.008815637
file_length,0.008490865
qty_underline_url,0.008020123
params_length,0.006998732
qty_equal_url,0.0067592785
qty_percent_file,0.0067140074
qty_hyphen_file,0.0065703583
qty_hyphen_domain,0.006563753
qty_dot_url,0.006380235
qty_underline_directory,0.0060304697
qty_exclamation_url,0.0058976025
qty_vowels_domain,0.005832658
qty_comma_file,0.0057631033
qty_underline_params,0.005598252
qty_hyphen_url,0.005434567
qty_comma_directory,0.00507367
domain_in_ip,0.0048023276
qty_equal_directory,0.004732518
qty_and_url,0.0027704905
qty_and_params,0.002404333
qty_exclamation_directory,0.002196266
qty_questionmark_url,0.0021767053
qty_percent_params,0.0018017761
qty_and_directory,0.0016604981
qty_questionmark_params,0.0016131839
qty_plus_directory,0.0015389512
qty_hyphen_params,0.0012120457
qty_percent_directory,0.0011919268
qty_asterisk_url,0.0011819137
qty_slash_params,0.0010745983
qty_equal_params,0.0009339829
server_client_domain,0.00046627803
tld_present_params,0.00029609233
qty_hashtag_url,0.0
qty_exclamation_params,0.0
qty_slash_domain,0.0
qty_space_params,0.0
qty_tilde_params,0.0
qty_comma_params,0.0
qty_plus_params,0.0
qty_dollar_url,0.0
qty_questionmark_domain,0.0
qty_underline_domain,0.0
qty_dollar_file,0.0
qty_asterisk_params,0.0
qty_at_domain,0.0
qty_comma_url,0.0
qty_tilde_url,0.0
qty_space_url,0.0
qty_space_file,0.0
qty_tilde_file,0.0
qty_hashtag_params,0.0
qty_dollar_params,0.0
qty_plus_file,0.0
qty_equal_domain,0.0
qty_comma_domain,0.0
qty_and_domain,0.0
qty_exclamation_domain,0.0
qty_slash_file,0.0
qty_dollar_directory,0.0
qty_hashtag_directory,0.0
qty_asterisk_directory,0.0
qty_questionmark_file,0.0
qty_tilde_directory,0.0
qty_space_directory,0.0
email_in_url,0.0
qty_at_directory,0.0
qty_equal_file,0.0
qty_questionmark_directory,0.0
qty_at_file,0.0
qty_at_params,0.0
qty_and_file,0.0
qty_exclamation_file,0.0
qty_asterisk_file,0.0
qty_percent_domain,0.0
qty_dollar_domain,0.0
qty_hashtag_domain,0.0
qty_asterisk_domain,0.0
qty_plus_domain,0.0
qty_tilde_domain,0.0
qty_space_domain,0.0
qty_hashtag_file,0.0
